Time,bitcoin: (India)
2023-12-13T12:10:00+05:30,42
2023-12-13T12:18:00+05:30,47
2023-12-13T12:26:00+05:30,37
2023-12-13T12:34:00+05:30,38
2023-12-13T12:42:00+05:30,40
2023-12-13T12:50:00+05:30,41
2023-12-13T12:58:00+05:30,39
2023-12-13T13:06:00+05:30,35
2023-12-13T13:14:00+05:30,37
2023-12-13T13:22:00+05:30,41
2023-12-13T13:30:00+05:30,32
2023-12-13T13:38:00+05:30,37
2023-12-13T13:46:00+05:30,51
